,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
1,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
2,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
3,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
4,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
5,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
6,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
7,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
8,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
9,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
10,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
11,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
12,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
13,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
14,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
15,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
16,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
17,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
18,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
19,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
20,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
21,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
22,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
23,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
24,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
25,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
26,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
27,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
28,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
29,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
30,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
31,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
32,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
33,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
34,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
35,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
36,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
37,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
38,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
39,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
40,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
41,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
42,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
43,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
44,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
45,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
46,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
47,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
48,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
49,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
50,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
51,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
52,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
53,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
54,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
55,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
56,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
57,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
58,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
59,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
60,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
61,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
62,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
63,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
64,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
65,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
66,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
67,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
68,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
69,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
70,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
71,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
72,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
73,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
74,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
75,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
76,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
77,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
78,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
79,0.19,7.895,4.234,6.727,26.907,7.658,14.239,5.646
80,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
81,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
82,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
83,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
84,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
85,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
86,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
87,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
88,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
89,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
90,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
91,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
92,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
93,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
94,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
95,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
96,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
97,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
98,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
99,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
100,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
101,0.17,6.164,3.292,4.747,18.252,5.582,10.552,4.438
102,0.18,6.999,3.746,5.677,22.276,6.566,12.307,5.022
