,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
4,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
8,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
11,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
12,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
13,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
23,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
24,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
27,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
