,volt,co,h2,lpg,ch4,alcohol
0,0.17,0.833,0.627,0.102,0.253,1.513
1,0.17,0.833,0.627,0.102,0.253,1.513
2,0.18,0.909,0.683,0.143,0.413,2.322
3,0.17,0.833,0.627,0.102,0.253,1.513
4,0.17,0.833,0.627,0.102,0.253,1.513
5,0.17,0.833,0.627,0.102,0.253,1.513
6,0.18,0.909,0.683,0.143,0.413,2.322
7,0.17,0.833,0.627,0.102,0.253,1.513
8,0.17,0.833,0.627,0.102,0.253,1.513
9,0.17,0.833,0.627,0.102,0.253,1.513
10,0.17,0.833,0.627,0.102,0.253,1.513
11,0.17,0.833,0.627,0.102,0.253,1.513
12,0.18,0.909,0.683,0.143,0.413,2.322
13,0.17,0.833,0.627,0.102,0.253,1.513
14,0.17,0.833,0.627,0.102,0.253,1.513
15,0.17,0.833,0.627,0.102,0.253,1.513
16,0.17,0.833,0.627,0.102,0.253,1.513
17,0.17,0.833,0.627,0.102,0.253,1.513
18,0.17,0.833,0.627,0.102,0.253,1.513
19,0.17,0.833,0.627,0.102,0.253,1.513
20,0.18,0.909,0.683,0.143,0.413,2.322
21,0.17,0.833,0.627,0.102,0.253,1.513
22,0.17,0.833,0.627,0.102,0.253,1.513
23,0.17,0.833,0.627,0.102,0.253,1.513
24,0.17,0.833,0.627,0.102,0.253,1.513
25,0.17,0.833,0.627,0.102,0.253,1.513
26,0.17,0.833,0.627,0.102,0.253,1.513
27,0.17,0.833,0.627,0.102,0.253,1.513
28,0.17,0.833,0.627,0.102,0.253,1.513
29,0.17,0.833,0.627,0.102,0.253,1.513
30,0.18,0.909,0.683,0.143,0.413,2.322
31,0.18,0.909,0.683,0.143,0.413,2.322
32,0.17,0.833,0.627,0.102,0.253,1.513
33,0.17,0.833,0.627,0.102,0.253,1.513
34,0.17,0.833,0.627,0.102,0.253,1.513
35,0.18,0.909,0.683,0.143,0.413,2.322
36,0.17,0.833,0.627,0.102,0.253,1.513
37,0.17,0.833,0.627,0.102,0.253,1.513
38,0.17,0.833,0.627,0.102,0.253,1.513
39,0.17,0.833,0.627,0.102,0.253,1.513
40,0.17,0.833,0.627,0.102,0.253,1.513
41,0.18,0.909,0.683,0.143,0.413,2.322
42,0.17,0.833,0.627,0.102,0.253,1.513
43,0.17,0.833,0.627,0.102,0.253,1.513
44,0.17,0.833,0.627,0.102,0.253,1.513
45,0.17,0.833,0.627,0.102,0.253,1.513
46,0.17,0.833,0.627,0.102,0.253,1.513
47,0.17,0.833,0.627,0.102,0.253,1.513
48,0.17,0.833,0.627,0.102,0.253,1.513
49,0.18,0.909,0.683,0.143,0.413,2.322
50,0.17,0.833,0.627,0.102,0.253,1.513
51,0.17,0.833,0.627,0.102,0.253,1.513
52,0.17,0.833,0.627,0.102,0.253,1.513
53,0.17,0.833,0.627,0.102,0.253,1.513
54,0.18,0.909,0.683,0.143,0.413,2.322
55,0.17,0.833,0.627,0.102,0.253,1.513
56,0.17,0.833,0.627,0.102,0.253,1.513
57,0.17,0.833,0.627,0.102,0.253,1.513
58,0.17,0.833,0.627,0.102,0.253,1.513
59,0.17,0.833,0.627,0.102,0.253,1.513
60,0.17,0.833,0.627,0.102,0.253,1.513
61,0.17,0.833,0.627,0.102,0.253,1.513
62,0.17,0.833,0.627,0.102,0.253,1.513
63,0.17,0.833,0.627,0.102,0.253,1.513
64,0.17,0.833,0.627,0.102,0.253,1.513
65,0.17,0.833,0.627,0.102,0.253,1.513
66,0.17,0.833,0.627,0.102,0.253,1.513
67,0.16,0.76,0.573,0.071,0.151,0.961
68,0.18,0.909,0.683,0.143,0.413,2.322
69,0.18,0.909,0.683,0.143,0.413,2.322
70,0.17,0.833,0.627,0.102,0.253,1.513
71,0.17,0.833,0.627,0.102,0.253,1.513
72,0.17,0.833,0.627,0.102,0.253,1.513
73,0.17,0.833,0.627,0.102,0.253,1.513
74,0.18,0.909,0.683,0.143,0.413,2.322
75,0.17,0.833,0.627,0.102,0.253,1.513
76,0.17,0.833,0.627,0.102,0.253,1.513
77,0.17,0.833,0.627,0.102,0.253,1.513
78,0.18,0.909,0.683,0.143,0.413,2.322
79,0.17,0.833,0.627,0.102,0.253,1.513
80,0.17,0.833,0.627,0.102,0.253,1.513
81,0.18,0.909,0.683,0.143,0.413,2.322
82,0.17,0.833,0.627,0.102,0.253,1.513
83,0.17,0.833,0.627,0.102,0.253,1.513
84,0.17,0.833,0.627,0.102,0.253,1.513
85,0.18,0.909,0.683,0.143,0.413,2.322
86,0.18,0.909,0.683,0.143,0.413,2.322
87,0.17,0.833,0.627,0.102,0.253,1.513
88,0.17,0.833,0.627,0.102,0.253,1.513
89,0.17,0.833,0.627,0.102,0.253,1.513
90,0.17,0.833,0.627,0.102,0.253,1.513
91,0.18,0.909,0.683,0.143,0.413,2.322
92,0.17,0.833,0.627,0.102,0.253,1.513
93,0.18,0.909,0.683,0.143,0.413,2.322
94,0.17,0.833,0.627,0.102,0.253,1.513
95,0.17,0.833,0.627,0.102,0.253,1.513
96,0.17,0.833,0.627,0.102,0.253,1.513
97,0.17,0.833,0.627,0.102,0.253,1.513
98,0.17,0.833,0.627,0.102,0.253,1.513
99,0.17,0.833,0.627,0.102,0.253,1.513
100,0.17,0.833,0.627,0.102,0.253,1.513
101,0.18,0.909,0.683,0.143,0.413,2.322
102,0.17,0.833,0.627,0.102,0.253,1.513
103,0.17,0.833,0.627,0.102,0.253,1.513
104,0.17,0.833,0.627,0.102,0.253,1.513
105,0.17,0.833,0.627,0.102,0.253,1.513
106,0.17,0.833,0.627,0.102,0.253,1.513
107,0.17,0.833,0.627,0.102,0.253,1.513
108,0.17,0.833,0.627,0.102,0.253,1.513
109,0.18,0.909,0.683,0.143,0.413,2.322
110,0.18,0.909,0.683,0.143,0.413,2.322
111,0.18,0.909,0.683,0.143,0.413,2.322
112,0.17,0.833,0.627,0.102,0.253,1.513
113,0.17,0.833,0.627,0.102,0.253,1.513
114,0.16,0.76,0.573,0.071,0.151,0.961
115,0.17,0.833,0.627,0.102,0.253,1.513
116,0.17,0.833,0.627,0.102,0.253,1.513
117,0.16,0.76,0.573,0.071,0.151,0.961
118,0.17,0.833,0.627,0.102,0.253,1.513
119,0.17,0.833,0.627,0.102,0.253,1.513
120,0.17,0.833,0.627,0.102,0.253,1.513
121,0.17,0.833,0.627,0.102,0.253,1.513
122,0.17,0.833,0.627,0.102,0.253,1.513
123,0.17,0.833,0.627,0.102,0.253,1.513
124,0.18,0.909,0.683,0.143,0.413,2.322
125,0.17,0.833,0.627,0.102,0.253,1.513
126,0.18,0.909,0.683,0.143,0.413,2.322
127,0.17,0.833,0.627,0.102,0.253,1.513
128,0.18,0.909,0.683,0.143,0.413,2.322
129,0.17,0.833,0.627,0.102,0.253,1.513
130,0.17,0.833,0.627,0.102,0.253,1.513
131,0.18,0.909,0.683,0.143,0.413,2.322
132,0.17,0.833,0.627,0.102,0.253,1.513
133,0.17,0.833,0.627,0.102,0.253,1.513
134,0.18,0.909,0.683,0.143,0.413,2.322
135,0.17,0.833,0.627,0.102,0.253,1.513
136,0.17,0.833,0.627,0.102,0.253,1.513
137,0.17,0.833,0.627,0.102,0.253,1.513
138,0.17,0.833,0.627,0.102,0.253,1.513
139,0.17,0.833,0.627,0.102,0.253,1.513
140,0.17,0.833,0.627,0.102,0.253,1.513
141,0.17,0.833,0.627,0.102,0.253,1.513
142,0.18,0.909,0.683,0.143,0.413,2.322
143,0.17,0.833,0.627,0.102,0.253,1.513
144,0.17,0.833,0.627,0.102,0.253,1.513
145,0.18,0.909,0.683,0.143,0.413,2.322
146,0.17,0.833,0.627,0.102,0.253,1.513
147,0.17,0.833,0.627,0.102,0.253,1.513
148,0.17,0.833,0.627,0.102,0.253,1.513
149,0.17,0.833,0.627,0.102,0.253,1.513
150,0.17,0.833,0.627,0.102,0.253,1.513
151,0.17,0.833,0.627,0.102,0.253,1.513
152,0.17,0.833,0.627,0.102,0.253,1.513
153,0.17,0.833,0.627,0.102,0.253,1.513
154,0.17,0.833,0.627,0.102,0.253,1.513
155,0.18,0.909,0.683,0.143,0.413,2.322
